"","...1","Region","Date","NA.","Population","HPI","S_Unf","HR","CPI","GRP_pc","HR_pc","BP","PI_Roads_Materials","Price_m2_fm","Price_m2_sm","Materials_pi","N_of_Credits","Avg_IR","Avg_Sum_of_credit","Avg_Duration_of_Credit","Mortgage_Debt","Usage","Usage_ratio","S_unf_redone"
"5133","5133","Тюменская область",2012-01-01,"5133",3437388.39156049,112.40752955326,1448.85866719848,9862.46934019668,105.22269251207,546863.553573051,0.00286907092211858,34686.8952377813,2.84461538461539,43931.5500000058,49299.4800000063,1.00043478260871,1695,11.8666666666667,974.666666666667,14.3333333333333,10090,66.45,"High usage",1450.42736299751
"5134","5134","Тюменская область",2012-04-01,"5134",3452494.03155373,113.225052507397,1514.30843352125,10230.0768836722,105.349972699855,550134.321845638,0.0029634590292031,35609.1078652084,2.41999999999997,45647.1000000058,50295.7700000065,1.32130434782607,2034,12.2166666666667,1023.66666666667,15,11314.6666666667,65.7,"High usage",1514.38385898078
"5135","5135","Тюменская область",2012-07-01,"5135",3466990.81999661,112.018761477068,1683.22488317047,10548.8037717377,105.433640093892,552226.672652452,0.00304334545154389,36299.0963137134,3.52461538461537,46769.2900000059,51448.0100000064,2.22217391304351,2291,12.36,1030,14.8,12642.6666666667,66.62,"High usage",1682.47824799163
"5136","5136","Тюменская область",2012-10-01,"5136",3480878.75688914,108.788656462272,1955.60801614601,10818.6500043932,105.473694694182,553140.605993493,0.00310873018914143,36756.8605832961,2.63384615384614,47867.4900000061,52972.1700000069,2.20152173913044,2848,12.55,1090.33333333333,15,14373,66.14,"High usage",1954.71053003006
"5137","5137","Тюменская область",2013-01-01,"5137",3494157.84223131,103.534737463011,2331.45783244788,11039.6155816388,105.470136500724,552876.121868761,0.00315961324199513,36982.4006739567,1.74785714285714,48731.2500000061,52189.6800000068,-0.158979591836726,1959,12.9366666666667,1060.33333333333,14.7,15659,67.67,"High usage",2331.08070509607
"5138","5138","Тюменская область",2013-04-01,"5138",3506079.53947565,100.959274878101,2561.65462599236,11220.1555798815,105.544658623051,551945.5130388,0.0032002017854096,37680.8524406381,-2.29571428571427,48930.5800000063,53592.550000007,0.151428571428568,2575,12.6433333333333,1142.66666666667,14.6,17358.3333333333,68.98,"High usage",2561.63649308405
"5139","5139","Тюменская область",2013-07-01,"5139",3516643.84862216,101.062268707545,2646.19839677946,11360.2699991213,105.697261061163,550348.779503608,0.00323049581938272,38852.2158833405,2.86499999999999,49098.5600000062,54033.330000007,1.60795918367347,3118,12.4,1157,14.0666666666667,19272,69.97,"High usage",2646.37789399399
"5140","5140","Тюменская область",2013-10-01,"5140",3525850.76967083,103.843718951341,2585.08914480917,11459.9588393582,105.92794381506,548085.921263187,0.00325049534391695,40496.4910020637,2.81142857142858,49666.5200000063,54287.7100000068,1.49102040816327,3755,12.33,1166,13.9,21461.3333333333,69.73,"High usage",2585.30490782589
"5141","5141","Тюменская область",2014-01-01,"5141",3533700.30262167,109.30362560949,2378.32687008149,11519.2221005922,106.236706884742,545156.938317536,0.00326020035901128,42613.6777968079,2.36785714285713,53098.0700000064,55603.2900000071,0.504651162790694,2802,12.26,1163.33333333333,14.6333333333333,23259,68.22,"High usage",2378.41753457976
"5142","5142","Тюменская область",2014-04-01,"5142",3541897.99475333,111.518138028953,2186.89121216253,11634.4345648489,107.073529358718,541949.664383254,0.00328508367854997,44007.8813959823,-1.38571428571429,55035.6100000063,60082.8700000071,0.753255813953501,3335,12.2233333333333,1234,14.3,25630.6666666667,66.55,"High usage",2186.89557144941
"5143","5143","Тюменская область",2014-07-01,"5143",3550443.84606582,110.487256209731,2010.78217105228,11805.5962321283,108.438411236988,538464.099460344,0.00332514530253405,44679.101799587,-0.555714285714274,56633.5100000066,59512.8700000071,-0.513255813953506,3341,12.4466666666667,1283,15.4666666666667,27885.6666666667,68.95,"High usage",2010.73901843482
