"","Возраст","Пол","Напиток"
"861",79,1,"Водка"
"862",70.5,2,"Коньяк или виски"
"863",70.5,2,"Водка"
"864",73.5,1,"Коньяк или виски"
"865",73.5,1,"Водка"
"866",56,1,"Пиво"
"867",65,1,"Пиво"
"868",65,1,"Самогон"
"869",60,2,"Водка"
"870",60.5,1,"Пиво"
"871",60.5,1,"Водка"
"872",57,2,"Водка"
"873",45.5,1,"Пиво"
"874",45.5,1,"Коньяк или виски"
"875",45.5,1,"Водка"
"876",71,1,"Водка"
"877",71,1,"Самогон"
"878",45,1,"Пиво"
"879",71.5,1,"Водка"
"880",55,2,"Пиво"
"881",72.5,2,"Самогон"
"882",46.5,1,"Пиво"
"883",46.5,1,"Коньяк или виски"
"884",50.5,2,"Коньяк или виски"
"885",50.5,2,"Мартини или вермут"
"886",40,1,"Водка"
"887",30,2,"Пиво"
"888",30,2,"Водка"
"889",71.5,2,"Коньяк или виски"
"890",77.5,1,"Пиво"
"891",77.5,1,"Коньяк или виски"
"892",69,2,"Вино"
"893",82,2,"Вино"
"894",54.5,1,"Пиво"
"895",50,2,"Вино"
"896",51,1,"Водка"
"897",72,1,"Мартини или вермут"
"898",60.5,2,"Самогон"
"899",30,2,"Пиво"
"900",79,1,"Водка"
"901",44.5,2,"Водка"
"902",48,1,"Водка"
"903",64.5,2,"Пиво"
"904",64.5,2,"Водка"
"905",59,1,"Водка"
"906",75.5,1,"Водка"
