"","Project.Future.Phase","Country","Region.x","Years","Development.Type.y","Development.Status.y","OPEC.Status","Production.x","Production.y","Breakeven.Band","Commercial.Liquids.Remaining.Reserves..million.barrels.","Operating.Costs","expected","id","cs_prod"
"394","Indiana","US (Lower 48)","North America",2020,"Onshore","Onstream","Non-OPEC",4.664819433,4.66481943256538,"$20-$25",22.4782613735566,24.354,27.6525,394,10696.332683334
"395","Liberty (GC 141)","US (GoM Deepwater)","North America",2020,"Shallow Water","Onstream","Non-OPEC",0.94,0.94,"$20-$25",1.18,18.37417797,27.6525,395,10697.460683334
"396","Mad Dog","US (GoM Deepwater)","North America",2020,"Deepwater","Onstream","Non-OPEC",56.05929543,56.0592954289879,"$20-$25",732.88,8.805875897,27.6525,396,10764.73183785
"397","Mandy (MC 199)","US (GoM Deepwater)","North America",2020,"Deepwater","Onstream","Non-OPEC",3.356786111,3.35678611110592,"$20-$25",4.76,15.86976385,27.6525,397,10768.7599811832
"398","MID Wolfcamp B Ozona Crockett Hz SHO TX","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",11.22200022,11.2220002167419,"$20-$25",36.6307017132923,23.0494727083354,27.6525,398,10782.2263814472
"399","MID Wolfcamp B Ozona Irion Hz SHO TX","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",22.66617773,22.666177731498,"$20-$25",59.8817716360311,23.0494727083354,27.6525,399,10809.4257947232
"400","MID Wolfcamp C Ozona Crockett Hz SHO TX","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",0.497627795,0.497627794916174,"$20-$25",1.55172367963635,23.0494727083354,27.6525,400,10810.0229480772
"401","MID Wolfcamp C Ozona Irion Hz SHO TX","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",1.154421545,1.15442154501016,"$20-$25",3.05117622422935,23.0494727083354,27.6525,401,10811.4082539312
"402","NGP Northern Great Plains Basin Other Hz OGS MT","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",0.406517541,0.406517541421551,"$20-$25",1.43395631120349,22.7112643552016,27.6525,402,10811.8960749804
"403","NGP Northern Great Plains Basin Other OGS MT","US (Lower 48)","North America",2020,"Onshore","Onstream","Non-OPEC",3.507297211,3.50729721087233,"$20-$25",11.2420982796162,22.7112643552016,27.6525,403,10816.1048316336
"404","PRV Parkman Hz SHO WY","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",3.094576861,3.0945768606124,"$20-$25",10.4624829938588,20.1999654308144,27.6525,404,10819.8183238668
"405","PRV SHANNON HZ SHO WY","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",0.663265966,0.663265966255606,"$20-$25",2.25274648574753,20.3038607981079,27.6525,405,10820.614243026
